schema_version,legacy_top_level_metric_mode,frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou,raw_real_valid_zones,raw_sim_valid_zones,raw_real_mean_distance_mm,raw_sim_mean_distance_mm,raw_paired_valid_zones,raw_mae_mm,raw_bias_mm,raw_no_return_iou,projected_real_valid_zones,projected_sim_valid_zones,projected_real_mean_distance_mm,projected_sim_mean_distance_mm,projected_paired_valid_zones,projected_mae_mm,projected_bias_mm,projected_no_return_iou
shape-replay-v2,raw,94,2026-06-28T15:41:53.509,9.236000061035156,0.3371026959268532,0.24704573412425995,53,62,250.67924528301887,260.5806451612903,53,20.90566037735849,13.245283018867925,0.18181818181818182,53,62,250.67924528301887,260.5806451612903,53,20.90566037735849,13.245283018867925,0.18181818181818182,53,62,250.67924528301887,242.6290322580645,53,10.320754716981131,-7.113207547169812,0.18181818181818182
shape-replay-v2,raw,95,2026-06-28T15:41:53.609,9.33599853515625,0.3370712858580177,0.24701432405542445,54,63,251.62962962962962,258.87301587301585,54,20.88888888888889,11.74074074074074,0.1,54,63,251.62962962962962,258.87301587301585,54,20.88888888888889,11.74074074074074,0.1,54,63,251.62962962962962,241.34920634920636,54,9.518518518518519,-8.11111111111111,0.1
shape-replay-v2,raw,96,2026-06-28T15:41:53.701,9.427993774414062,0.337087383652022,0.24703042184942875,55,63,251.8,258.7142857142857,54,20.64814814814815,11.907407407407407,0.0,55,63,251.8,258.7142857142857,54,20.64814814814815,11.907407407407407,0.0,55,63,251.8,241.23809523809524,54,10.62962962962963,-7.814814814814815,0.0
shape-replay-v2,raw,97,2026-06-28T15:41:53.803,9.529998779296875,0.337097299782457,0.24704033797986374,53,64,251.71698113207546,258.328125,53,19.433962264150942,12.037735849056604,0.0,53,64,251.71698113207546,258.328125,53,19.433962264150942,12.037735849056604,0.0,53,64,251.71698113207546,241.09375,53,9.962264150943396,-8.075471698113208,0.0
shape-replay-v2,raw,98,2026-06-28T15:41:53.910,9.637001037597656,0.33709390821004404,0.24703694640745077,54,64,251.9814814814815,257.6875,54,19.685185185185187,11.314814814814815,0.0,54,64,251.9814814814815,257.6875,54,19.685185185185187,11.314814814814815,0.0,54,64,251.9814814814815,240.34375,54,11.203703703703704,-8.574074074074074,0.0
shape-replay-v2,raw,99,2026-06-28T15:41:53.994,9.721000671386719,0.3370808549715794,0.24702389316898615,53,64,251.52830188679246,258.140625,53,20.09433962264151,12.358490566037736,0.0,53,64,251.52830188679246,258.140625,53,20.09433962264151,12.358490566037736,0.0,53,64,251.52830188679246,240.796875,53,9.88679245283019,-7.886792452830188,0.0
shape-replay-v2,raw,100,2026-06-28T15:41:54.092,9.819000244140625,0.3371160552011776,0.24705909339858434,54,64,252.0,257.75,54,19.48148148148148,10.962962962962964,0.0,54,64,252.0,257.75,54,19.48148148148148,10.962962962962964,0.0,54,64,252.0,240.375,54,10.777777777777779,-8.925925925925926,0.0
shape-replay-v2,raw,101,2026-06-28T15:41:54.191,9.917999267578125,0.33711605436908676,0.2470590925664935,54,63,251.14814814814815,258.3333333333333,54,19.0,11.222222222222221,0.1,54,63,251.14814814814815,258.3333333333333,54,19.0,11.222222222222221,0.1,54,63,251.14814814814815,240.88888888888889,54,10.148148148148149,-8.518518518518519,0.1
shape-replay-v2,raw,102,2026-06-28T15:41:54.290,10.016998291015625,0.3370966983733773,0.24703973657078404,53,63,251.22641509433961,258.3333333333333,53,19.056603773584907,11.471698113207546,0.09090909090909091,53,63,251.22641509433961,258.3333333333333,53,19.056603773584907,11.471698113207546,0.09090909090909091,53,63,251.22641509433961,240.88888888888889,53,9.773584905660377,-8.641509433962264,0.09090909090909091
shape-replay-v2,raw,103,2026-06-28T15:41:54.388,10.114997863769531,0.34031848653028646,0.2502615247276932,54,64,254.59259259259258,261.296875,54,20.75925925925926,12.425925925925926,0.0,54,64,254.59259259259258,261.296875,54,20.75925925925926,12.425925925925926,0.0,54,64,254.59259259259258,243.796875,54,10.148148148148149,-7.777777777777778,0.0
