frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
60,2026-06-28T15:40:45.336,5.89599609375,0.39708438868872703,0.30702742688613377,61,62,309.3114754098361,327.758064516129,59,27.1864406779661,19.864406779661017,0.0
61,2026-06-28T15:40:45.433,5.9929962158203125,0.39706262540949266,0.3070056636068994,64,64,308.953125,322.78125,64,26.078125,13.828125,1.0
62,2026-06-28T15:40:45.528,6.0879974365234375,0.39608936285014995,0.3060324010475567,63,64,307.25396825396825,322.796875,63,26.77777777777778,15.984126984126984,0.0
63,2026-06-28T15:40:45.624,6.183998107910156,0.3909273300896152,0.30087036828702196,62,63,302.3225806451613,317.26984126984127,61,27.83606557377049,15.639344262295081,0.0
64,2026-06-28T15:40:45.733,6.292999267578125,0.37904622390364073,0.2889892621010475,61,63,292.1639344262295,305.0,60,26.933333333333334,13.666666666666666,0.0
65,2026-06-28T15:40:45.823,6.38299560546875,0.3714421026965583,0.28138514089396505,60,63,283.93333333333334,296.6507936507937,59,25.372881355932204,15.271186440677965,0.0
66,2026-06-28T15:40:45.920,6.4799957275390625,0.3673298042820911,0.27727284247949785,59,63,283.03389830508473,290.58730158730157,59,28.406779661016948,10.474576271186441,0.2
67,2026-06-28T15:40:46.018,6.577995300292969,0.3671799954228359,0.27712303362024265,59,63,279.8305084745763,289.015873015873,58,24.413793103448278,12.931034482758621,0.0
68,2026-06-28T15:40:46.117,6.676994323730469,0.3671800822832362,0.2771231204806429,58,64,278.9655172413793,289.828125,58,25.086206896551722,16.25862068965517,0.0
69,2026-06-28T15:40:46.215,6.774993896484375,0.36711939689358153,0.27706243509098827,59,63,280.135593220339,290.77777777777777,59,24.23728813559322,13.694915254237289,0.2
70,2026-06-28T15:40:46.350,6.909996032714844,0.3670887718484371,0.2770318100458438,60,62,279.4,291.1290322580645,59,23.610169491525422,14.389830508474576,0.2
71,2026-06-28T15:40:46.441,7.000999450683594,0.36705853220940665,0.2770015704068134,59,62,279.35593220338984,291.758064516129,58,23.79310344827586,15.724137931034482,0.16666666666666666
72,2026-06-28T15:40:46.544,7.103996276855469,0.36706662716584704,0.2770096653632538,59,62,279.2881355932203,292.2903225806452,58,25.948275862068964,15.948275862068966,0.16666666666666666
73,2026-06-28T15:40:46.629,7.188995361328125,0.36702375733684256,0.2769667955342493,58,63,279.7931034482759,291.55555555555554,58,23.32758620689655,15.637931034482758,0.16666666666666666
74,2026-06-28T15:40:46.736,7.295997619628906,0.3670413499900621,0.27698438818746884,59,64,279.66101694915255,287.78125,59,23.1864406779661,12.338983050847459,0.0
75,2026-06-28T15:40:46.834,7.3939971923828125,0.36705018036074544,0.2769932185581522,60,64,280.2,288.203125,60,23.15,11.783333333333333,0.0
76,2026-06-28T15:40:46.933,7.4929962158203125,0.3670156380741383,0.276958676271545,59,62,279.91525423728814,291.03225806451616,58,23.086206896551722,14.189655172413794,0.16666666666666666
77,2026-06-28T15:40:47.040,7.599998474121094,0.36705710019230353,0.27700013838971027,59,64,279.6949152542373,289.515625,59,24.983050847457626,14.508474576271187,0.0
78,2026-06-28T15:40:47.127,7.6869964599609375,0.36703713007973254,0.2769801682771393,59,64,279.9830508474576,288.875,59,24.406779661016948,13.11864406779661,0.0
79,2026-06-28T15:40:47.232,7.791999816894531,0.36702834269575113,0.27697138089315787,58,62,280.01724137931035,290.98387096774195,57,22.087719298245613,14.017543859649123,0.14285714285714285
80,2026-06-28T15:40:47.318,7.877998352050781,0.367018379578114,0.27696141777552075,59,62,279.3728813559322,291.5483870967742,59,23.28813559322034,15.11864406779661,0.4
81,2026-06-28T15:40:47.424,7.984001159667969,0.36701490024219985,0.2769579384396066,61,62,280.1475409836066,291.3225806451613,60,23.7,13.0,0.25
82,2026-06-28T15:40:47.521,8.081001281738281,0.36673203910168756,0.2766750772990943,59,64,279.59322033898303,288.765625,59,23.10169491525424,13.40677966101695,0.0
83,2026-06-28T15:40:47.617,8.176994323730469,0.3624170279728513,0.27236006617025804,59,64,276.2542372881356,282.28125,59,22.322033898305083,10.864406779661017,0.0
