frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
49,2026-06-28T15:43:08.680,4.829002380371094,0.39705792519005423,0.3069263132644764,64,64,307.140625,328.296875,64,21.875,21.15625,1.0
50,2026-06-28T15:43:08.770,4.918998718261719,0.39706219041310775,0.3069305784875299,64,64,306.796875,327.6875,64,21.703125,20.890625,1.0
51,2026-06-28T15:43:08.865,5.013999938964844,0.397090549185288,0.3069589372597102,64,64,307.203125,328.203125,64,21.5625,21.0,1.0
52,2026-06-28T15:43:08.961,5.1100006103515625,0.397103655245593,0.30697204332001515,64,64,306.625,328.75,64,22.71875,22.125,1.0
53,2026-06-28T15:43:09.062,5.21099853515625,0.3971098715178657,0.30697825959228786,64,64,307.1875,327.640625,64,20.890625,20.453125,1.0
54,2026-06-28T15:43:09.153,5.302001953125,0.39709219063264556,0.3069605787070677,64,64,306.703125,328.328125,64,22.25,21.625,1.0
55,2026-06-28T15:43:09.265,5.41400146484375,0.3970654744196065,0.30693386249402865,64,64,307.328125,327.984375,64,21.8125,20.65625,1.0
56,2026-06-28T15:43:09.362,5.5110015869140625,0.39708468163207705,0.3069530697064992,64,64,306.90625,328.0,64,21.65625,21.09375,1.0
57,2026-06-28T15:43:09.458,5.607002258300781,0.3970784203254816,0.30694680839990374,64,64,306.953125,328.515625,64,22.3125,21.5625,1.0
58,2026-06-28T15:43:09.548,5.696998596191406,0.3970933222194831,0.3069617102939053,64,64,306.78125,330.234375,64,23.828125,23.453125,1.0
59,2026-06-28T15:43:09.650,5.799003601074219,0.39708119900886274,0.3069495870832849,64,64,307.40625,327.15625,64,20.53125,19.75,1.0
60,2026-06-28T15:43:09.744,5.89300537109375,0.39706726716178903,0.3069356552362112,64,64,306.59375,328.21875,64,22.21875,21.625,1.0
61,2026-06-28T15:43:09.845,5.9940032958984375,0.3967454946916737,0.30661388276609586,64,64,306.84375,328.421875,64,21.953125,21.578125,1.0
62,2026-06-28T15:43:09.940,6.0890045166015625,0.39318650670958766,0.3030548947840098,64,64,301.75,325.203125,64,24.078125,23.453125,1.0
63,2026-06-28T15:43:10.039,6.1880035400390625,0.3839624089922523,0.2938307970666745,64,64,293.78125,315.1875,64,22.25,21.40625,1.0
64,2026-06-28T15:43:10.138,6.2870025634765625,0.37374145100429185,0.283609839078714,64,64,283.65625,303.34375,64,20.84375,19.6875,1.0
65,2026-06-28T15:43:10.302,6.4510040283203125,0.36719532312195957,0.27706371119638173,64,64,278.84375,295.921875,64,17.984375,17.078125,1.0
66,2026-06-28T15:43:10.334,6.483001708984375,0.3672314044692734,0.27709979254369554,64,64,278.34375,297.046875,64,19.765625,18.703125,1.0
67,2026-06-28T15:43:10.433,6.582000732421875,0.3672017402865116,0.27707012836093375,64,64,278.5,296.828125,64,19.140625,18.328125,1.0
68,2026-06-28T15:43:10.567,6.71600341796875,0.367171115029249,0.27703950310367115,64,64,278.078125,296.109375,64,19.1875,18.03125,1.0
69,2026-06-28T15:43:10.663,6.812004089355469,0.3671172130425334,0.2769856011169556,64,64,278.25,296.515625,64,19.546875,18.265625,1.0
70,2026-06-28T15:43:10.746,6.8950042724609375,0.3670884547281991,0.2769568428026213,64,64,278.171875,297.109375,64,20.15625,18.9375,1.0
71,2026-06-28T15:43:10.853,7.0019989013671875,0.3670825389618382,0.27695092703626034,64,64,278.46875,297.46875,64,19.5625,19.0,1.0
72,2026-06-28T15:43:10.949,7.097999572753906,0.3671095405915824,0.27697792866600457,64,64,278.25,294.96875,64,18.46875,16.71875,1.0
73,2026-06-28T15:43:11.036,7.185005187988281,0.36710310136653446,0.2769714894409566,64,64,277.671875,295.390625,64,18.65625,17.71875,1.0
74,2026-06-28T15:43:11.131,7.279998779296875,0.36708243781571614,0.2769508258901383,64,64,278.140625,296.078125,64,18.3125,17.9375,1.0
75,2026-06-28T15:43:11.236,7.385002136230469,0.3670705292771058,0.276938917351528,64,64,278.171875,296.625,64,20.078125,18.453125,1.0
76,2026-06-28T15:43:11.327,7.476005554199219,0.3670946763538636,0.2769630644282858,64,64,278.21875,296.015625,64,18.453125,17.796875,1.0
77,2026-06-28T15:43:11.416,7.56500244140625,0.36707705638571186,0.276945444460134,64,64,278.359375,295.796875,64,18.4375,17.4375,1.0
78,2026-06-28T15:43:11.517,7.6660003662109375,0.36712624954035233,0.2769946376147745,64,64,277.640625,296.671875,64,19.5625,19.03125,1.0
79,2026-06-28T15:43:11.613,7.762001037597656,0.367129179704944,0.2769975677793662,64,64,277.734375,296.375,64,19.484375,18.640625,1.0
80,2026-06-28T15:43:11.711,7.8600006103515625,0.3670873277204221,0.27695571579484424,64,64,278.328125,296.296875,64,18.4375,17.96875,1.0
81,2026-06-28T15:43:11.824,7.972999572753906,0.3671072260356108,0.27697561411003296,64,64,278.265625,295.03125,64,18.328125,16.765625,1.0
82,2026-06-28T15:43:11.908,8.056999206542969,0.36557195718675173,0.2754403452611739,64,64,276.28125,294.484375,64,19.546875,18.203125,1.0
83,2026-06-28T15:43:12.007,8.156005859375,0.3587657386280659,0.26863412670248804,64,64,270.34375,286.625,64,17.15625,16.28125,1.0
84,2026-06-28T15:43:12.104,8.252998352050781,0.3480983670287475,0.2579667551031697,64,64,259.5,275.796875,64,17.328125,16.296875,1.0
