frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,paired_valid_zones,mae_mm,bias_mm,no_return_iou
30,2026-06-28T15:41:47.232,2.9589996337890625,0.24704716447128905,0.1569902026686958,18,63,18,23.055555555555557,-21.944444444444443,0.021739130434782608
31,2026-06-28T15:41:47.331,3.0579986572265625,0.24704294778768626,0.156985985985093,18,64,18,21.555555555555557,-19.666666666666668,0.0
32,2026-06-28T15:41:47.428,3.154998779296875,0.24705821764695818,0.15700125584436492,18,64,18,22.38888888888889,-20.944444444444443,0.0
33,2026-06-28T15:41:47.522,3.2490005493164062,0.24704290622163302,0.15698594441903976,18,64,18,23.11111111111111,-22.11111111111111,0.0
34,2026-06-28T15:41:47.612,3.3389968872070312,0.24703298346841468,0.15697602166582142,18,64,18,22.11111111111111,-20.555555555555557,0.0
35,2026-06-28T15:41:47.756,3.4829940795898438,0.2470529557503664,0.15699599394777314,17,63,17,23.823529411764707,-21.58823529411765,0.02127659574468085
36,2026-06-28T15:41:47.797,3.5239944458007812,0.247067134721344,0.15701017291875075,18,64,18,23.22222222222222,-22.444444444444443,0.0
37,2026-06-28T15:41:47.895,3.6219940185546875,0.24709228134349542,0.15703531954090216,18,64,18,22.77777777777778,-21.22222222222222,0.0
38,2026-06-28T15:41:47.994,3.7210006713867188,0.2470747913628008,0.15701782956020754,18,64,18,22.61111111111111,-21.5,0.0
39,2026-06-28T15:41:48.092,3.819000244140625,0.2470350718792377,0.15697811007664444,18,63,18,22.38888888888889,-20.166666666666668,0.021739130434782608
40,2026-06-28T15:41:48.190,3.9169998168945312,0.24707601033653864,0.15701904853394538,18,64,18,23.166666666666668,-21.38888888888889,0.0
41,2026-06-28T15:41:48.328,4.055000305175781,0.24985051699848365,0.1597935551958904,19,64,19,22.842105263157894,-20.94736842105263,0.0
42,2026-06-28T15:41:48.427,4.153999328613281,0.2569505033565478,0.16689354155395453,20,63,20,25.3,-15.1,0.022727272727272728
43,2026-06-28T15:41:48.522,4.249000549316406,0.26783545906560424,0.17777849726301098,24,62,23,31.347826086956523,-16.043478260869566,0.024390243902439025
44,2026-06-28T15:41:48.619,4.346000671386719,0.2747712448246032,0.18471428302200993,34,63,33,24.21212121212121,-3.8484848484848486,0.0
45,2026-06-28T15:41:48.709,4.435997009277344,0.2770919829490565,0.18703502114646325,33,63,32,26.53125,-3.84375,0.0
46,2026-06-28T15:41:48.811,4.537994384765625,0.27705650067466675,0.1869995388720735,34,62,33,24.03030303030303,-6.393939393939394,0.03225806451612903
47,2026-06-28T15:41:48.908,4.6349945068359375,0.2770136715418616,0.1869567097392683,34,63,33,25.21212121212121,-5.151515151515151,0.0
48,2026-06-28T15:41:48.998,4.724998474121094,0.27702484930249416,0.1869678874999009,33,63,32,24.78125,-4.21875,0.0
49,2026-06-28T15:41:49.098,4.8249969482421875,0.2770613061681081,0.18700434436551483,33,62,31,25.93548387096774,-3.2903225806451615,0.0
50,2026-06-28T15:41:49.190,4.916999816894531,0.2770389901919791,0.18698202838938582,34,60,31,24.258064516129032,-2.5806451612903225,0.030303030303030304
51,2026-06-28T15:41:49.279,5.0059967041015625,0.2770584392241543,0.18700147742156104,33,64,33,27.424242424242426,-5.121212121212121,0.0
52,2026-06-28T15:41:49.380,5.10699462890625,0.27705195826396023,0.18699499646136697,33,63,32,26.03125,-4.84375,0.0
53,2026-06-28T15:41:49.472,5.198997497558594,0.2770407941092731,0.18698383230667986,33,61,31,26.677419354838708,-4.67741935483871,0.030303030303030304
54,2026-06-28T15:41:49.567,5.293998718261719,0.2770600475250762,0.18700308572248292,33,62,32,26.53125,-5.34375,0.03125
55,2026-06-28T15:41:49.668,5.394996643066406,0.27703664347187096,0.1869796816692777,34,63,33,25.545454545454547,-6.212121212121212,0.0
56,2026-06-28T15:41:49.792,5.5189971923828125,0.2770617626394281,0.18700480083683485,34,62,32,24.15625,-3.90625,0.0
57,2026-06-28T15:41:49.862,5.588996887207031,0.27705547754287024,0.18699851574027698,34,62,32,25.78125,-3.84375,0.0
58,2026-06-28T15:41:49.962,5.688995361328125,0.2770697286312116,0.18701276682861834,34,63,33,24.78787878787879,-5.575757575757576,0.0
59,2026-06-28T15:41:50.066,5.792999267578125,0.27704192222422014,0.18698496042162688,33,64,33,27.21212121212121,-6.545454545454546,0.0
60,2026-06-28T15:41:50.162,5.888999938964844,0.2770640693469162,0.18700710754432293,34,64,34,26.529411764705884,-5.823529411764706,0.0
61,2026-06-28T15:41:50.260,5.98699951171875,0.27706713671184663,0.18701017490925337,33,62,32,26.15625,-5.59375,0.03125
62,2026-06-28T15:41:50.355,6.082000732421875,0.28020433251420646,0.1901473707116132,34,62,34,26.294117647058822,-6.117647058823529,0.06666666666666667
63,2026-06-28T15:41:50.452,6.1790008544921875,0.28769272036846183,0.19763575856586857,39,60,38,24.894736842105264,-2.8947368421052633,0.11538461538461539
64,2026-06-28T15:41:50.552,6.278999328613281,0.29928283151284496,0.2092258697102517,43,62,42,24.261904761904763,2.738095238095238,0.045454545454545456
